Nume	Prenume	Instanta
MADARASI-PAP	CARMEN	JudecatoriaMEDIAS
OLTEAN	GABRIEL - ARGHIL	JudecatoriaMEDIAS
OLTEANU	DANIELA	JudecatoriaMEDIAS
SUCIU	DANIELA IOANA	JudecatoriaMEDIAS
VISA	ELENA LILIANA	JudecatoriaMEDIAS
VISA	IOAN	JudecatoriaMEDIAS
ZOLTAN	MIRELA	JudecatoriaMEDIAS
CRĂCIUN	DANIELA - SORINA	JudecatoriaAGNITA
NISTOR	ANDREI	JudecatoriaAGNITA
MAZILU	MARIUS IOAN	JudecatoriaAVRIG
MUNTEAN	CODRUŢA - ELENA	JudecatoriaAVRIG
VEŞTEMEAN	ALINA IOANA	JudecatoriaAVRIG
VÎLCU	NATALIA PETRONELA	JudecatoriaAVRIG
DINESCU	ANDREEA ANGELICA	JudecatoriaSALISTE
DUMITRACHE	MIOARA CRISTINA	JudecatoriaSALISTE
VACARU SORA	ELENA SIMONA	JudecatoriaSALISTE
VULCAN	MARIA	JudecatoriaSALISTE
ADRIAN	BOGDAN ION	CurteadeApelBACAU
ALBESCU	LOREDANA LENUŢA	CurteadeApelBACAU
ANTI	SILVIU	CurteadeApelBACAU
ASTEFĂNESEI	PETRINA-MANUELA	CurteadeApelBACAU
BUSUIOC 	ANAMARIA-MONICA	CurteadeApelBACAU
CĂLIMAN	CARMEN	CurteadeApelBACAU
CHIRIAC 	MARIA-VIOLETA	CurteadeApelBACAU
CIOBANU	LILIANA	CurteadeApelBACAU
CIOBANU	SORINA	CurteadeApelBACAU
CIOPRAGA	GABRIELA - MONA	CurteadeApelBACAU
GALAVAN	ADINA CĂTĂLINA	CurteadeApelBACAU
GROSU	VALERICA NICULINA	CurteadeApelBACAU
IACOBUŢ	NECULAI - CĂTĂLIN	CurteadeApelBACAU
LUNGU TRANOLE	OLGUŢA	CurteadeApelBACAU
MARCOVICI	DANTEŞ	CurteadeApelBACAU
MENGONI	ARIN ALEXANDRU	CurteadeApelBACAU
MOGLAN	LĂCRĂMIOARA	CurteadeApelBACAU
NAPA	MORINA	CurteadeApelBACAU
NEGOIŢĂ	CAMELIA	CurteadeApelBACAU
NOVAC 	LILIANA	CurteadeApelBACAU
PĂRĂU	DANIELA	CurteadeApelBACAU
PINTEA	VASILICĂ	CurteadeApelBACAU
PIRJOL-NASTASE	DORU-OCTAVIAN	CurteadeApelBACAU
PRALEA	VASILICĂ OVIDIU	CurteadeApelBACAU
POCOVNICU 	DUMITRU	CurteadeApelBACAU
POPESCU	CLAUDIA	CurteadeApelBACAU
ROMAŞCANU	SORINA	CurteadeApelBACAU
ŞERBAN	CĂTĂLIN	CurteadeApelBACAU
STĂNIŞOR	VERA	CurteadeApelBACAU
ŞTEFĂNESCU	CEZAR	CurteadeApelBACAU
VĂDANA	MONICA	CurteadeApelBACAU
VIZITEU	LILIANA - CAMELIA	CurteadeApelBACAU
ANTOHE	GABRIELA	TribunalulBACAU
ANTOHI	GRETA	TribunalulBACAU
APETROAEI	RALUCA- IOANA	TribunalulBACAU
ARHIP	ALINA RAMONA	TribunalulBACAU
BUDEANU	VASILE SORIN	TribunalulBACAU
BUMBU	ROBERT CONSTANTIN	TribunalulBACAU
CIOCAN	GHEORGHE	TribunalulBACAU
COCIOIU	CRISTINA	TribunalulBACAU
COSTEA	ANGELICA	TribunalulBACAU
DĂNĂILĂ	CORNELIA	TribunalulBACAU
DĂNILĂ	CODRINA LĂCRĂMIOARA	TribunalulBACAU
DOGARU	OANA ALINA	TribunalulBACAU
DORNEANU	CARMEN GEANINA	TribunalulBACAU
FESAN	PAULA CRISTINA	TribunalulBACAU
